user_id,Salad In The Box,SteakHolder,ANWAR BURGER,สมใจ ลูกชิ้นทอด,น้องแนนหมูปิ้ง,ปังเย็น,เครื่องดื่ม ยำผลไม้ ผลไม้,ข้าวแกงชุดอิ่มอร่อย,ตำยำย่าง อาหารอีสาน ลาบยโส,ศิริรัตน์ โจ้ก ข้าวต้ม,ผัดไท หอยทอด ราดหน้า,ข้าวหน้าเป็ด-ข้าวหมูแดง-ข้าวหมูกรอบ,ข้าวยำไก่ย่าง ข้าวมันไก่ 2 สี,แชมป์ฮั้งเพ้ง,ชาย 4 บะหมี่เกี๊ยว,ร้าน 3 ป. ขาหมู อาหารตามสั่ง,อาหารอิสลาม Halal Food,ร้านอาหารตามสั่งอิ่มอร่อย,พินิจโต้รุ่ง,clusters,
54,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,สนใจและเลือกเข้าชมหลายร้าน 
267,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,สนใจและเลือกเข้าชมหลายร้าน 
255,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,สนใจและเลือกเข้าชมหลายร้าน 
258,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,สนใจและเลือกเข้าชมหลายร้าน 
265,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,สนใจและเลือกเข้าชมหลายร้าน 
246,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,สนใจและเลือกเข้าชมหลายร้าน 
266,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,สนใจและเลือกเข้าชมหลายร้าน 
134,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,สนใจและเลือกเข้าชมหลายร้าน 
158,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,ชอบเสต็ก เลือกเข้าชมร้าน SteakHolder 
157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
